timestamp,open,high,low,close,volume
1788670740000,79868.88000000,79868.88000000,79868.88000000,79868.88000000,0.00000000
1788670800000,79868.88000000,79868.88000000,79868.88000000,79868.88000000,0.00000000
1788670860000,79894.35000000,79894.35000000,79875.72000000,79890.37000000,0.00647000
1788670920000,79890.37000000,79890.37000000,79890.37000000,79890.37000000,0.00006000
1788670980000,79908.83000000,79908.83000000,79890.34000000,79890.34000000,0.00059000
1788671040000,79908.65000000,79908.65000000,79899.75000000,79899.75000000,0.00652000
1788671100000,79853.02000000,79855.55000000,79853.02000000,79855.55000000,0.00125000
1788671160000,79866.73000000,79866.74000000,79866.73000000,79866.74000000,0.00274000
1788671220000,79866.74000000,79866.74000000,79866.74000000,79866.74000000,0.00000000
1788671280000,79866.74000000,79870.73000000,79866.74000000,79870.73000000,0.00019000
1788671340000,79870.73000000,79870.73000000,79870.73000000,79870.73000000,0.00000000
1788671400000,79872.35000000,79872.35000000,79866.74000000,79866.74000000,0.00048000
1788671460000,79866.74000000,79866.74000000,79866.74000000,79866.74000000,0.00000000
1788671520000,79837.32000000,79837.32000000,79810.27000000,79818.23000000,0.00187000
1788671580000,79818.22000000,79818.22000000,79814.23000000,79814.23000000,0.00080000
1788671640000,79809.71000000,79810.89000000,79809.71000000,79810.89000000,0.00014000
1788671700000,79815.55000000,79815.55000000,79814.78000000,79814.78000000,0.00017000
1788671760000,79814.78000000,79814.78000000,79814.78000000,79814.78000000,0.00000000
1788671820000,79814.78000000,79814.78000000,79814.78000000,79814.78000000,0.00000000
1788671880000,79814.78000000,79814.78000000,79814.78000000,79814.78000000,0.00000000
1788671940000,79809.18000000,79809.18000000,79786.61000000,79786.61000000,0.07498000
1788672000000,79790.35000000,79824.86000000,79790.35000000,79824.86000000,0.00147000
1788672060000,79834.16000000,79846.26000000,79834.16000000,79846.26000000,0.02505000
1788672120000,79836.04000000,79836.04000000,79836.04000000,79836.04000000,0.00005000
1788672180000,79849.66000000,79849.66000000,79849.66000000,79849.66000000,0.00024000
1788672240000,79849.66000000,79849.66000000,79849.66000000,79849.66000000,0.00000000
1788672300000,79853.66000000,79853.66000000,79853.66000000,79853.66000000,0.00061000
1788672360000,79853.66000000,79853.66000000,79853.66000000,79853.66000000,0.00000000
1788672420000,79853.66000000,79853.66000000,79853.66000000,79853.66000000,0.00000000
1788672480000,79853.66000000,79853.66000000,79853.66000000,79853.66000000,0.00000000
